"ORF"	"pvalue"	"adjpvalue"	"logFC"	"pathway.id"	"pathway.name"
"lp_0009"	0.00397617092307614	0.0123408145836951	-0.668184363490566	"lpl03010"	"Ribosome"
"lp_0010"	0.000812063481951177	0.00310202571339742	-0.64445258476511	"lpl03030"	"DNA replication"
"lp_0010"	0.000812063481951177	0.00310202571339742	-0.64445258476511	"lpl03430"	"Mismatch repair"
"lp_0010"	0.000812063481951177	0.00310202571339742	-0.64445258476511	"lpl03440"	"Homologous recombination"
"lp_0011"	0.000218652762888426	0.000985064509095278	-0.669717493630739	"lpl03010"	"Ribosome"
"lp_0018"	2.30233582478472e-07	1.53841094102588e-06	1.09393408956967	"lpl02024"	"Quorum sensing"
"lp_0022"	0.00359520823733388	0.0113683502150138	0.880102251686117	"lpl00500"	"Starch and sucrose metabolism"
"lp_0022"	0.00359520823733388	0.0113683502150138	0.880102251686117	"lpl00520"	"Amino sugar and nucleotide sugar metabolism"
"lp_0022"	0.00359520823733388	0.0113683502150138	0.880102251686117	"lpl01100"	"Metabolic pathways"
"lp_0022"	0.00359520823733388	0.0113683502150138	0.880102251686117	"lpl01110"	"Biosynthesis of secondary metabolites"
"lp_0039"	0.00102475236101439	0.00378863605552698	-0.523226966678951	NA	NA
"lp_0053"	1.72540407451468e-10	1.49603488206928e-09	-1.13407017983408	NA	NA
"lp_0057"	0.002417019953007	0.00812490553433891	0.545790737242691	NA	NA
"lp_0058"	8.55969000647678e-50	3.89644222169828e-48	3.16911591584047	NA	NA
"lp_0059"	0.000135999611889152	0.000640429206848699	1.15496574473305	NA	NA
"lp_0062"	0.0137639157668829	0.0364977620760184	0.74937583540695	NA	NA
"lp_0063"	3.49289705012001e-75	2.46192904984265e-73	4.71705253085832	NA	NA
"lp_0070"	2.23060996417225e-11	2.15658529721963e-10	1.19126671595371	"lpl00350"	"Tyrosine metabolism"
"lp_0070"	2.23060996417225e-11	2.15658529721963e-10	1.19126671595371	"lpl01120"	"Microbial metabolism in diverse environments"
"lp_0070"	2.23060996417225e-11	2.15658529721963e-10	1.19126671595371	"lpl01220"	"Degradation of aromatic compounds"
"lp_0081"	0.0131251051245503	0.0351881652725674	0.471746486981354	NA	NA
"lp_0085"	0.000681012826856045	0.00264300715218554	0.647149894705974	NA	NA
"lp_0092"	0.0135072540218491	0.0359043187807059	0.454515059849076	NA	NA
"lp_0096"	4.4221969429064e-31	1.23878209233981e-29	2.93557392389836	NA	NA
"lp_0098"	1.85769712926226e-18	2.96282352367739e-17	2.03404786040955	NA	NA
"lp_0101"	6.47299348896973e-08	4.53317011967912e-07	-1.23082085980385	"lpl02010"	"ABC transporters"
"lp_0102"	8.00521559526058e-11	7.25784069528812e-10	-1.28037525293314	"lpl02010"	"ABC transporters"
"lp_0103"	6.21083587789468e-05	0.000304275255452912	-0.992912028361932	NA	NA
"lp_0104"	1.26195637660166e-20	2.2788220519625e-19	-2.2246417763499	"lpl00620"	"Pyruvate metabolism"
"lp_0105"	1.26629420651683e-09	1.0401702410674e-08	-1.91241583376753	NA	NA
"lp_0106"	4.44007109982115e-14	5.13309807042815e-13	-2.50046198905375	NA	NA
"lp_0107"	6.56960402085786e-14	7.47634624248668e-13	-2.29982997093897	NA	NA
"lp_0108"	0.000249675604860654	0.00111108186684425	-1.69937924575912	NA	NA
"lp_0109"	1.11270608648676e-06	6.82938988475725e-06	-1.48599920061061	NA	NA
"lp_0111"	0.00313669039737034	0.0100937680681211	0.538258953608113	NA	NA
"lp_0113"	3.79894549982048e-37	1.25768119956178e-35	2.74682037149661	"lpl00730"	"Thiamine metabolism"
"lp_0113"	3.79894549982048e-37	1.25768119956178e-35	2.74682037149661	"lpl01100"	"Metabolic pathways"
"lp_0114"	9.26071328709367e-37	2.93255920757966e-35	2.48796162238066	"lpl00730"	"Thiamine metabolism"
"lp_0114"	9.26071328709367e-37	2.93255920757966e-35	2.48796162238066	"lpl01100"	"Metabolic pathways"
"lp_0115"	1.22095033432874e-36	3.811109257869e-35	2.43973224047895	"lpl00730"	"Thiamine metabolism"
"lp_0115"	1.22095033432874e-36	3.811109257869e-35	2.43973224047895	"lpl01100"	"Metabolic pathways"
"lp_0116"	1.4093181840124e-41	5.40238637204754e-40	2.43558911635906	NA	NA
"lp_0117"	0.0195273417200166	0.0485959472189479	0.434226911446954	NA	NA
"lp_0118"	2.3310661916613e-13	2.54668981438997e-12	1.26312292153126	NA	NA
"lp_0119"	0.0134808959815183	0.0358779022163429	0.456340742466376	NA	NA
"lp_0137"	3.87495450274727e-08	2.7851235488496e-07	0.893453753570023	"lpl00750"	"Vitamin B6 metabolism"
"lp_0137"	3.87495450274727e-08	2.7851235488496e-07	0.893453753570023	"lpl01100"	"Metabolic pathways"
"lp_0137"	3.87495450274727e-08	2.7851235488496e-07	0.893453753570023	"lpl01120"	"Microbial metabolism in diverse environments"
"lp_0138"	1.58717394143845e-08	1.19585346967001e-07	-0.884034270529224	NA	NA
"lp_0139"	3.26290647792139e-21	6.14607815022262e-20	1.68585568560487	NA	NA
"lp_0145"	3.35535427906287e-07	2.20163636629201e-06	-0.906172905532589	NA	NA
"lp_0146"	0.0148567202937405	0.0388765674752372	-0.527522729113855	NA	NA
"lp_0154"	1.17908204289423e-05	6.39278973628759e-05	1.78232340481053	NA	NA
"lp_0155"	5.50558073843979e-13	5.92595759285268e-12	3.11968976904708	NA	NA
"lp_0156"	1.97721673715211e-38	6.64649010873439e-37	3.61824336501579	NA	NA
"lp_0164"	0.00438986648652953	0.0133777660712232	-0.512937115749063	NA	NA
"lp_0168"	0.002972441100015	0.00962190193115968	0.473606825898629	"lpl00561"	"Glycerolipid metabolism"
